Date,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2024-06-17,-2.0308950406630726,-2.072530853014735,-0.4935227314230773,-1.104117022141301,-2.36985243184627,-1.388747679970038
2024-06-18,-1.5613462551825528,-1.624555437467202,-0.0757912521927324,0.0733032209807578,-1.5278487206608267,-1.6342252109399207
2024-06-20,-1.0005854646147723,-1.4002526965976339,-1.1208950641140152,-0.6962434217424197,-0.9027616802117409,-1.1379115907167072
2024-06-21,-0.7104498930903412,-1.5646421068227874,-1.8214942502143634,-2.2407997980706447,-1.1922363596790422,-0.6853265523884349
2024-06-24,-0.6946656639776441,-1.2468128597984254,-0.6932459495822947,-1.7583148460802762,-0.9838948747269635,0.3700645251937884
2024-06-25,-0.7087009573231886,-1.35457272949304,-0.8373562103828579,-2.8720868766390457,-1.8587591868266122,-0.537147762349337
2024-06-26,-1.0385479418232904,-1.299991756667941,-2.369414165484709,-2.266233354708827,-2.780668970500347,-0.5086461776998024
2024-06-27,-1.0288524207496514,-1.2159454925386597,-2.5836258255253997,-2.210919631686518,-2.3445855608330493,-0.11515215048342856
2024-06-28,-0.5765092502443537,-0.7219355489269953,-1.4824848395392756,-1.2335306802220802,-2.0092660199246577,0.04738179494406429
2024-07-01,-1.168994448916635,-1.327803538010962,-1.9906178809703186,-1.3179884149781549,-2.629711407437608,0.050960630442425485
2024-07-02,-1.4362652688223887,-1.4298217712147119,-2.1477342025554655,-1.689442391754249,-3.1103398631526056,0.4683755885452424
2024-07-03,-1.451203405956828,-1.4684564551488823,-1.5535023307339397,-1.6284597310791533,-2.9052776688365785,-0.608064903105485
2024-07-05,-1.806747041378412,-1.8387734005451946,-1.7320259410616365,-2.273499784872018,-2.4626858393943034,-0.02508388895707754
2024-07-08,-1.8143055468725724,-1.5904101005096685,-1.4310833923304929,-1.681748686118797,-2.085467827879884,-0.49111784382306767
2024-07-09,-1.7549582446925214,-0.9536808550099823,-1.2899759752815958,-1.4955796468687435,-2.0333727249748046,-1.1129956188271608
2024-07-10,-2.1889303340575763,-1.5408079396062067,-1.22080565540876,-1.6953834441107274,-1.7819255928883415,-1.6948805371701852
2024-07-11,-1.3333274207090782,-0.2230813008879874,-0.4520389074233841,-0.5694700486475598,-0.9851376415595308,0.043468981082208126
